,number,name,type,ability,hidden_ability,gender_ratio,hatch_cycle,egg_group,Base_Experience_Yield,height,weight,leveling_rate,color,base_friendship,category,gen,legendary
76,#0076,Golem,Rock / Ground,Rock Head / Sturdy,Sand Veil,"50% male, 50% female",15cycles,Mineral,223.0,1.4,300.0,Medium Slow,Brown,70.0,Megaton Pokémon,1,No
77,#0077,Ponyta,Fire,"('Run Away', 'Flash Fire')",Flame Body,"50% male, 50% female",20cycles,Field,82.0,1.0,30.0,Medium Fast,Yellow,70.0,Fire Horse Pokémon,1,No
78,#0078,Rapidash,Fire,"('Run Away', 'Flash Fire')",Flame Body,"50% male, 50% female",20cycles,Field,175.0,1.7,95.0,Medium Fast,Yellow,70.0,Fire Horse Pokémon,1,No
79,#0079,Slowpoke,Water / Psychic,Oblivious / Own Tempo,Regenerator,"50% male, 50% female",20cycles,Monster / Water 1,63.0,1.2,36.0,Medium Fast,Pink,70.0,Dopey Pokémon,1,No
80,#0080,Slowbro,Water / Psychic,Oblivious / Own Tempo,Regenerator,"50% male, 50% female",20cycles,Monster / Water 1,172.0,1.6,78.5,Medium Fast,Pink,70.0,Hermit Crab Pokémon,1,No
81,#0081,Magnemite,Electric / Steel,Magnet Pull / Sturdy,Analytic,Gender unknown,20cycles,Mineral,65.0,0.3,6.0,Medium Fast,Gray,70.0,Magnet Pokémon,1,No
82,#0082,Magneton,Electric / Steel,Magnet Pull / Sturdy,Analytic,Gender unknown,20cycles,Mineral,163.0,1.0,60.0,Medium Fast,Gray,70.0,Magnet Pokémon,1,No
83,#0083,Farfetch'd,Normal / Flying,Keen Eye / Inner Focus,Defiant,"50% male, 50% female",20cycles,Flying / Field,132.0,0.8,15.0,Medium Fast,Brown,70.0,Wild Duck Pokémon,1,No
84,#0084,Doduo,Normal / Flying,Run Away / Early Bird,Tangled Feet,"50% male, 50% female",20cycles,Flying,62.0,1.4,39.2,Medium Fast,Brown,70.0,Twin Bird Pokémon,1,No
85,#0085,Dodrio,Normal / Flying,Run Away / Early Bird,Tangled Feet,"50% male, 50% female",20cycles,Flying,165.0,1.8,85.2,Medium Fast,Brown,70.0,Triple Bird Pokémon,1,No
86,#0086,Seel,Water,Thick Fat / Hydration,Ice Body,"50% male, 50% female",20cycles,Water 1 / Field,65.0,1.1,90.0,Medium Fast,White,70.0,Sea Lion Pokémon,1,No
87,#0087,Dewgong,Water / Ice,Thick Fat / Hydration,Ice Body,"50% male, 50% female",20cycles,Water 1 / Field,166.0,1.7,120.0,Medium Fast,White,70.0,Sea Lion Pokémon,1,No
88,#0088,Grimer,Poison,Stench / Sticky Hold,Poison Touch,"50% male, 50% female",20cycles,Amorphous,65.0,0.9,30.0,Medium Fast,Purple,70.0,Sludge Pokémon,1,No
89,#0089,Muk,Poison,Stench / Sticky Hold,Poison Touch,"50% male, 50% female",20cycles,Amorphous,175.0,1.2,30.0,Medium Fast,Purple,70.0,Sludge Pokémon,1,No
90,#0090,Shellder,Water,Shell Armor / Skill Link,Overcoat,"50% male, 50% female",20cycles,Water 3,61.0,0.3,4.0,Slow,Purple,70.0,Bivalve Pokémon,1,No
91,#0091,Cloyster,Water / Ice,Shell Armor / Skill Link,Overcoat,"50% male, 50% female",20cycles,Water 3,184.0,1.5,132.5,Slow,Purple,70.0,Bivalve Pokémon,1,No
92,#0092,Gastly,Ghost / Poison,Levitate,None,"50% male, 50% female",20cycles,Amorphous,62.0,1.3,0.1,Medium Slow,Purple,70.0,Gas Pokémon,1,No
93,#0093,Haunter,Ghost / Poison,Levitate,None,"50% male, 50% female",20cycles,Amorphous,142.0,1.6,0.1,Medium Slow,Purple,70.0,Gas Pokémon,1,No
94,#0094,Gengar,Ghost / Poison,Cursed Body,Levitate,"50% male, 50% female",20cycles,Amorphous,225.0,1.5,40.5,Medium Slow,Purple,70.0,Shadow Pokémon,1,No
95,#0095,Onix,Rock / Ground,Rock Head / Sturdy,Weak Armor,"50% male, 50% female",25cycles,Mineral,77.0,8.8,210.0,Medium Fast,Gray,70.0,Rock Snake Pokémon,1,No
96,#0096,Drowzee,Psychic,Insomnia / Forewarn,Inner Focus,"50% male, 50% female",20cycles,Human-Like,66.0,1.0,32.4,Medium Fast,Yellow,70.0,Hypnosis Pokémon,1,No
97,#0097,Hypno,Psychic,Insomnia / Forewarn,Inner Focus,"50% male, 50% female",20cycles,Human-Like,169.0,1.6,75.6,Medium Fast,Yellow,70.0,Hypnosis Pokémon,1,No
98,#0098,Krabby,Water,Hyper Cutter / Shell Armor,Sheer Force,"50% male, 50% female",20cycles,Water 3,65.0,0.4,6.5,Medium Fast,Red,70.0,River Crab Pokémon,1,No
99,#0099,Kingler,Water,Hyper Cutter / Shell Armor,Sheer Force,"50% male, 50% female",20cycles,Water 3,166.0,1.3,60.0,Medium Fast,Red,70.0,Pincer Pokémon,1,No
100,#0100,Voltorb,Electric,Soundproof / Static,Aftermath,Gender unknown,20cycles,Mineral,66.0,0.5,10.4,Medium Fast,Red,70.0,Ball Pokemon,1,No
101,#0101,Electrode,Electric,Soundproof / Static,Aftermath,Gender unknown,20cycles,Mineral,172.0,1.2,66.6,Medium Fast,Red,70.0,Ball Pokemon,1,No
102,#0102,Exeggcute,Grass / Psychic,Chlorophyll,Harvest,"50% male, 50% female",20cycles,Grass,65.0,0.4,2.5,Slow,Pink,70.0,Egg Pokémon,1,No
103,#0103,Exeggutor,Grass / Psychic,Chlorophyll / Frisk,Harvest,"50% male, 50% female",20cycles,Grass,186.0,2.0,120.0,Slow,Yellow,70.0,Coconut Pokémon,1,No
104,#0104,Cubone,Ground,Rock Head / Lightning Rod,Battle Armor,"50% male, 50% female",20cycles,Monster,64.0,0.4,6.5,Medium Fast,Brown,70.0,Lonely Pokémon,1,No
105,#0105,Marowak,Ground,Rock Head / Lightning Rod,Battle Armor,"50% male, 50% female",20cycles,Monster,149.0,1.0,45.0,Medium Fast,Brown,70.0,Bone Keeper Pokémon,1,No
106,#0106,Hitmonlee,Fighting,Limber / Reckless,Unburden,100% male,25cycles,Human-Like,159.0,1.5,49.8,Medium Fast,Brown,70.0,Kicking Pokémon,1,No
107,#0107,Hitmonchan,Fighting,Keen Eye / Iron Fist,Inner Focus,100% male,25cycles,Human-Like,159.0,1.4,50.2,Medium Fast,Brown,70.0,Punching Pokémon,1,No
108,#0108,Lickitung,Normal,Own Tempo / Oblivious,Cloud Nine,"50% male, 50% female",20cycles,Monster,77.0,1.2,65.5,Medium Fast,Pink,70.0,Licking Pokémon,1,No
109,#0109,Koffing,Poison,Levitate / Neutralizing Gas,Stench,"50% male, 50% female",20cycles,Amorphous,68.0,0.6,1.0,Medium Fast,Purple,70.0,Poison Gas Pokémon,1,No
110,#0110,Weezing,Poison,Levitate / Neutralizing Gas,Stench,"50% male, 50% female",20cycles,Amorphous,172.0,1.2,9.5,Medium Fast,Purple,70.0,Poison Gas Pokémon,1,No
111,#0111,Rhyhorn,Ground / Rock,Lightning Rod / Rock Head,Reckless,"50% male, 50% female",20cycles,Monster / Field,69.0,1.0,115.0,Slow,Gray,70.0,Spikes Pokémon,1,No
112,#0112,Rhydon,Ground / Rock,Lightning Rod / Rock Head,Reckless,"50% male, 50% female",20cycles,Monster / Field,170.0,1.9,120.0,Slow,Gray,70.0,Drill Pokémon,1,No
113,#0113,Chansey,Normal,Natural Cure / Serene Grace,Healer,100% female,40cycles,Fairy,395.0,1.1,34.6,Fast,Pink,140.0,Egg Pokémon,1,No
114,#0114,Tangela,Grass,Chlorophyll / Leaf Guard,Regenerator,"50% male, 50% female",20cycles,Grass,87.0,1.0,35.0,Medium Fast,Blue,70.0,Vine Pokémon,1,No
115,#0115,Kangaskhan,Normal,Early Bird / Scrappy,Inner Focus,100% female,20cycles,Monster,172.0,2.2,80.0,Medium Fast,Brown,70.0,Parent Pokémon,1,No
116,#0116,Horsea,Water,Swift Swim / Sniper,Damp,"50% male, 50% female",20cycles,Water 1 / Dragon,59.0,0.4,8.0,Medium Fast,Blue,70.0,Dragon Pokémon,1,No
117,#0117,Seadra,Water,Poison Point / Sniper,Damp,"50% male, 50% female",20cycles,Water 1 / Dragon,154.0,1.2,25.0,Medium Fast,Blue,70.0,Dragon Pokémon,1,No
118,#0118,Goldeen,Water,Swift Swim / Water Veil,Lightning Rod,"50% male, 50% female",20cycles,Water 2,64.0,0.6,15.0,Medium Fast,Red,70.0,Goldfish Pokémon,1,No
119,#0119,Seaking,Water,Swift Swim / Water Veil,Lightning Rod,"50% male, 50% female",20cycles,Water 2,158.0,1.3,39.0,Medium Fast,Red,70.0,Goldfish Pokémon,1,No
120,#0120,Staryu,Water,Illuminate / Natural Cure,Analytic,Gender unknown,20cycles,Water 3,68.0,0.8,34.5,Slow,Brown,70.0,Star Shape Pokémon,1,No
121,#0121,Starmie,Water / Psychic,Illuminate / Natural Cure,Analytic,Gender unknown,20cycles,Water 3,182.0,1.1,80.0,Slow,Purple,70.0,Mysterious Pokémon,1,No
122,#0122,Mr. Mime,Psychic / Fairy,Soundproof / Filter,Technician,"50% male, 50% female",25cycles,Human-Like,161.0,1.3,54.5,Medium Fast,Pink,70.0,Barrier Pokemon,1,No
123,#0123,Scyther,Bug / Flying,Swarm / Technician,Steadfast,"50% male, 50% female",25cycles,Bug,100.0,1.5,56.0,Medium Fast,Green,70.0,Mantis Pokémon,1,No
124,#0124,Jynx,Ice / Psychic,Oblivious / Forewarn,Dry Skin,100% female,25cycles,Human-Like,159.0,1.4,40.6,Medium Fast,Red,70.0,Human Shape Pokémon,1,No
125,#0125,Electabuzz,Electric,Static,Vital Spirit,"75% male, 25% female",25cycles,Human-Like,172.0,1.1,30.0,Medium Fast,Yellow,70.0,Electric Pokémon,1,No
126,#0126,Magmar,Fire,Flame Body,Vital Spirit,"75% male, 25% female",25cycles,Human-Like,173.0,1.3,44.5,Medium Fast,Red,70.0,Spitfire Pokémon,1,No
127,#0127,Pinsir,Bug,Hyper Cutter / Mold Breaker,Moxie,"50% male, 50% female",25cycles,Bug,175.0,1.5,55.0,Slow,Brown,70.0,Stag Beetle Pokémon,1,No
128,#0128,Tauros,Normal,Intimidate / Anger Point,Sheer Force,100% male,20cycles,Field,172.0,1.4,88.4,Slow,Brown,70.0,Wild Bull Pokémon,1,No
129,#0129,Magikarp,Water,Swift Swim,Rattled,"50% male, 50% female",5cycles,Water 2 / Dragon,40.0,0.9,10.0,Slow,Red,70.0,Fish Pokémon,1,No
130,#0130,Gyarados,Water / Flying,Intimidate,Moxie,"50% male, 50% female",5cycles,Water 2 / Dragon,189.0,6.5,235.0,Slow,Blue,70.0,Atrocious Pokémon,1,No
131,#0131,Lapras,Water / Ice,Water Absorb / Shell Armor,Hydration,"50% male, 50% female",40cycles,Monster / Water 1,187.0,2.5,220.0,Slow,Blue,70.0,Transport Pokémon,1,No
132,#0132,Ditto,Normal,Limber,Imposter,Gender unknown,20cycles,Ditto,101.0,0.3,4.0,Medium Fast,Purple,70.0,Transform Pokémon,1,No
133,#0133,Eevee,Normal,Run Away / Adaptability,Anticipation,"87.5% male, 12.5% female",35cycles,Field,65.0,0.3,6.5,Medium Fast,Brown,70.0,Evolution Pokémon,1,No
134,#0134,Vaporeon,Water,Water Absorb,Hydration,"87.5% male, 12.5% female",35cycles,Field,184.0,1.0,29.0,Medium Fast,Blue,70.0,Bubble Jet Pokémon,1,No
135,#0135,Jolteon,Electric,Volt Absorb,Quick Feet,"87.5% male, 12.5% female",35cycles,Field,184.0,0.8,24.5,Medium Fast,Yellow,70.0,Lightning Pokémon,1,No
136,#0136,Flareon,Fire,Flash Fire,Guts,"87.5% male, 12.5% female",35cycles,Field,184.0,0.9,25.0,Medium Fast,Red,70.0,Flame Pokémon,1,No
137,#0137,Porygon,Normal,Trace / Download,Analytic,Gender unknown,20cycles,Mineral,79.0,0.8,36.5,Medium Fast,Pink,70.0,Virtual Pokémon,1,No
138,#0138,Omanyte,Rock / Water,Swift Swim / Shell Armor,Weak Armor,"87.5% male, 12.5% female",30cycles,Water 1 / Water 3,71.0,0.4,7.5,Medium Fast,Blue,70.0,Spiral Pokémon,1,No
139,#0139,Omastar,Rock / Water,Swift Swim / Shell Armor,Weak Armor,"87.5% male, 12.5% female",30cycles,Water 1 / Water 3,173.0,1.0,35.0,Medium Fast,Blue,70.0,Spiral Pokémon,1,No
140,#0140,Kabuto,Rock / Water,Swift Swim / Battle Armor,Weak Armor,"87.5% male, 12.5% female",30cycles,Water 1 / Water 3,71.0,0.5,11.5,Medium Fast,Brown,70.0,Shellfish Pokémon,1,No
141,#0141,Kabutops,Rock / Water,Swift Swim / Battle Armor,Weak Armor,"87.5% male, 12.5% female",30cycles,Water 1 / Water 3,173.0,1.3,40.5,Medium Fast,Brown,70.0,Shellfish Pokémon,1,No
142,#0142,Aerodactyl,Rock / Flying,Rock Head / Pressure,Unnerve,"87.5% male, 12.5% female",35cycles,Flying,180.0,1.8,59.0,Slow,Purple,70.0,Fossil Pokémon,1,No
143,#0143,Snorlax,Normal,Immunity / Thick Fat,Gluttony,"87.5% male, 12.5% female",40cycles,Monster,189.0,2.1,460.0,Slow,Black,70.0,Sleeping Pokémon,1,No
144,#0144,Articuno,Ice / Flying,Pressure,Snow Cloak,Gender unknown,80cycles,No Eggs Discovered,261.0,1.7,55.4,Slow,Blue,35.0,Freeze Pokemon,1,Yes
